Name,G,Name-additional
Ryan Aguilar,7,aguilry01
Cam Alldred,0,alldrca01
Francisco Álvarez,12,alvarfr01
Gabriel Arias,29,ariasga01
Javier Assad,0,assadja01
Pedro Avila,2,avilape01
Ji Hwan Bae,29,baeji01
Rylan Bannon,5,bannory01
Peyton Battenfield,0,battepe01
Brett Baty,15,batybr01
Tristan Beck,0,becktr01
Wynton Bernard,12,bernawy01
Brennan Bernardino,0,bernabr01
Dairon Blanco,5,blancda02
Ronel Blanco,0,blancro01
Taj Bradley,0,bradlta01
Will Brennan,27,brennwi02
Braden Bristo,0,bristbr01
Jhony Brito,0,britojh01
Hunter Brown,0,brownhu01
Alec Burleson,32,burleal01
José Butto,0,buttojo01
Jose Caballero,4,cabaljo01
Yennier Cano,1,canoye01
Conner Capel,39,capelco01
Vinny Capra,8,capravi01
Drew Carlton,2,carltdr01
Corbin Carroll,53,carroco02
Triston Casas,47,casastr01
Cade Cavalli,0,cavalca01
Oscar Colás,19,colasos01
Mark Contreras,28,contrma01
Cooper Criswell,0,criswco01
Narciso Crook,4,crookna01
Fernando Cruz,0,cruzfe01
Jesus Cruz,0,cruzje01
Xzavion Curry,0,curryxz01
Tyler Cyr,0,cyrty01
Brendon Davis,3,davisbr04
Jaylin Davis,38,davisja03
Noah Davis,0,davisno01
Angel De Jesus,0,dejesan01
Ben DeLuzio,22,deluzbe01
Matt Dermody,1,dermoma01
Jhonathan Diaz,0,diazjh01
Jordan Diaz,17,diazjo03
Yainer Diaz,14,diazya02
Yusniel Diaz,1,diazyu01
Dylan Dodd,0,dodddy01
Jeter Downs,14,downsje01
Daniel Duarte,0,duartda01
Joe Dunand,3,dunanjo01
Nick Duron,0,duronni01
Mason Englert,0,englema01
Anderson Espinoza,0,espinan01
Jeremiah Estrada,0,estraje01
Mario Feliciano,3,felicma01
Freddy Fermin,3,fermifr01
Nate Fisher,0,fishena01
Jake Fishman,0,fishmja01
Lucius Fox,10,foxlu01
Bowden Francis,0,francbo01
Shintaro Fujinami,0,fujinsh01
Hunter Gaddis,0,gaddihu01
Matt Gage,0,gagema01
Maikel Garcia,9,garcima01
Franklin German,0,germafr02
Luis Gil,0,gillu01
Jordan Groshans,17,groshjo01
Michael Grove,0,grovemi01
Dalton Guthrie,14,guthrda01
DL Hall,0,halldl01
Ian Hamilton,0,hamilia01
Hobie Harris,0,harriho02
Hogan Harris,0,harriho03
Brent Headrick,0,headrbr01
Gunnar Henderson,51,hendegu01
Ronny Henriquez,0,henriro01
Kevin Herget,0,hergeke01
Elier Hernandez,14,hernael02
Jose Hernandez,0,hernajo03
Iván Herrera,11,herreiv01
Tim Herrin,0,herriti01
Brewer Hicklen,6,hicklbr01
Sean Hjelle,0,hjellse01
Bryan Hoeing,0,hoeinbr01
Gavin Hollowell,0,holloga01
Tyler Holton,0,holtoty01
Brent Honeywell Jr.,0,honeybr01
Andre Jackson,3,jacksan01
Drey Jameson,1,jamesdr01
Bryce Johnson,21,johnsbr03
Damon Jones,1,jonesda07
Edouard Julien,8,julieed01
Corey Julks,14,julksco01
Josh Jung,44,jungjo01
Janson Junk,0,junkja01
Kevin Kelly,0,kellyke02
Michael Kelly,0,kellymi03
Zack Kelly,0,kellyza01
Ray Kerr,0,kerrra01
Caleb Kilian,0,kiliaca01
Mark Kolozsvary,10,kolozma01
Max Kranick,8,kranima01
Ryan Kreidler,37,kreidry01
Jack Larsen,1,larseja01
Bryan Lavastida,6,lavasbr01
Evan Lee,0,leeev01
Khalil Lee,13,leekh01
Korey Lee,12,leeko01
Casey Legumina,0,legumca01
Josh Lester,2,lestejo02
Royce Lewis,12,lewisro02
Luis Liberato,7,liberlu01
Matthew Liberatore,1,liberma01
Jeff Lindgren,0,lindgje01
Brendon Little,0,littlbr02
Otto Lopez,9,lopezot01
Nathan Lukes,5,lukesna01
Miles Mastrobuoni,16,mastrmi01
Darren McCaughan,1,mccauda01
Mickey McDonald,4,mcdonmi01
Easton McGee,0,mcgeeea01
Scott McGough,7,mcgousc01
Max Meyer,0,meyerma01
Mason Miller,0,millema03
Tyson Miller,0,millety01
Garrett Mitchell,44,mitchga01
Nate Mondou,1,mondona01
Bryce Montes de Oca,0,montebr01
McKinley Moore,0,mooremc01
Francisco Morales,0,moralfr02
Brian Moran,10,moranbr01
Cody Morris,0,morrico01
Kyle Muller,9,mulleky01
