key_mlbam,key_bbref,key_fangraphs,name_last,name_first
,,,,
669422,sauerma01,22284,Sauer,Matt
668853,shentau01,25425,Shenton,Austin
678906,tengka01,24282,Teng,Kai-Wei
683083,nunezna01,25979,Nunez,Nasim
668885,martiau01,27462,Martin,Austin
668832,mccanky01,25575,McCann,Kyle
694192,chourja01,28806,Chourio,Jackson
686580,slateju01,25648,Slaten,Justin
683003,jonesja09,27863,Jones,Jared
702358,lipsctr01,31567,Lipscomb,Trey
671922,smithca06,27867,Smith,Cade
686554,dunnol01,26295,Dunn,Oliver
673929,leasujo01,29950,Leasure,Jordan
676962,brownbe02,23590,Brown,Ben
694738,rouppla01,30076,Roupp,Landen
687765,spencmi01,27707,Spence,Mitch
690925,beetecl01,27494,Beeter,Clayton
694671,langfwy01,33333,Langford,Wyatt
808982,leeju01,33824,Hoo Lee,Jung
683627,molinan01,26952,Molina,Anthony
687363,scottvi01,31349,Scott II,Victor
690993,keithco01,27899,Keith,Colt
677942,alexabl01,23789,Alexander,Blaze
687231,hernada04,26224,Hernaiz,Darell
669062,milleer01,26252,Miller,Erik
663568,kolekst01,21487,Kolek,Stephen
808967,yamamyo01,33825,Yamamoto,Yoshinobu
701538,merrija01,29490,Merrill,Jackson
673513,matsuyu01,33826,Matsui,Yuki
688363,paulegr01,31363,Pauley,Graham
,,,,
687597,beckjo01,31431,Beck,Jordan
672012,blackty01,29949,Black,Tyler
694388,loperjo01,29630,Loperfido,Joey
694361,kleinwi01,27787,Klein,Will
670219,kristza01,27585,Kristofak,Zac
642629,ramirem01,17304,Ramirez,Emmanuel
660844,rivasle01,21009,Rivas,Leonardo
687424,maldoan01,26034,Maldonado,Anthony
680718,bargead01,24598,Barger,Addison
668964,myersto01,22191,Myers,Tobias
592155,booseca01,16061,Booser,Cam
683004,leiteja01,30146,Leiter,Jack
640902,peredjh01,19802,Pereda,Jhonny
689017,knackla01,27487,Knack,Landon
686780,pagespe02,25782,Pages,Pedro
686563,cannojo02,31730,Cannon,Jonathan
666215,whitlfo01,19586,Whitley,Forrest
665856,camarja01,21730,Camargo,Jair
675915,banueda01,23250,Banuelos,David
676568,vanasri01,23391,Vanasco,Ricky
682729,clasejo01,26599,Clase,Jonatan
680730,parkemi01,27636,Parker,Mitchell
680897,nastrni01,29833,Nastrini,Nick
668390,winnco01,22113,Winn,Cole
684320,rodriya01,33838,Rodriguez,Yariel
680474,schuema01,24488,Schuemann,Max
664079,jayty01,17952,Jay,Tyler
681293,arrigsp01,29921,Arrighetti,Spencer
702616,hollija01,31781,Holliday,Jackson
673380,nunezde01,23055,Nunez,Dedniel
673995,wendzda01,26469,Wendzel,Davis
668874,henlebl01,26190,Henley,Blair
672761,perezwe01,22857,Perez,Wenceel
656671,maciejo01,21310,Maciejewski,Josh
681624,pagesan01,24816,Pages,Andy
679822,foscuju01,27501,Foscue,Justin
681676,fernary01,24862,Fernandez,Ryan
684007,imanash01,33829,Imanaga,Shota
687014,avilani01,25667,Avila,Nick
678489,barrojo01,23968,Barrosa,Jorge
,,,,
682610,munozro01,25311,Munoz,Roddery
686796,walstbl01,26270,Walston,Blake
