name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,full_name
Yoshida,Masataka,152764,807799,yoshima02,31837,masataka yoshida
Valdez,Enmanuel,108701,665839,valdeen01,21716,enmanuel valdez
Headrick,Brent,144167,623912,headrbr01,27702,brent headrick
German,Franklin,35972,681464,germafr02,24750,franklin german
Beck,Tristan,113203,663941,becktr01,21584,tristan beck
Colas,Oscar,,693049,colasos01,30162,oscar colas
Miller,Mason,,695243,millema03,31757,mason miller
Perkins,Blake,106659,663368,perkibl01,19921,blake perkins
Soriano,George,108618,666277,soriage01,21863,george soriano
Stoudt,Levi,143912,686651,stoudle01,25650,levi stoudt
Sullivan,Brett,,664954,sullibr01,18217,brett sullivan
