name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,mlb_played_last
Aardsma,David,45369,430911,aardsda01,1902,2015
Aaron,Hank,18278,110001,aaronha01,1000001,1976
Aaron,Tommie,18279,110002,aaronto01,1000002,1971
Aase,Don,18280,110003,aasedo01,1000003,1990
Abad,Andy,16662,407577,abadan01,506,2006
Abad,Fernando,49706,472551,abadfe01,4994,2021
Abadie,John,18281,110004,abadijo01,1000004,1875
Abbaticchio,Ed,18282,110005,abbated01,1000005,1910
Abbey,Bert,18283,110006,abbeybe01,1000006,1896
Abbey,Charlie,18284,110007,abbeych01,1000007,1897
Abbott,Cory,111166,676265,abbotco01,20277,2021
Abbott,Dan,18285,110013,abbotda01,1000008,1890
Abbott,Fred,18286,110008,abbotfr01,1000009,1905
Abbott,Glenn,18287,110016,abbotgl01,1000010,1984
Abbott,Jeff,16663,110010,abbotje01,1000011,2001
Abbott,Jim,16664,110009,abbotji01,1000012,1999
Abbott,Kurt,16665,110011,abbotku01,1000013,2001
Abbott,Kyle,17737,110012,abbotky01,1000014,1996
Abbott,Ody,18288,110014,abbotod01,1000015,1910
Abbott,Paul,1135,110015,abbotpa01,1061,2004
,,,-1,,-1,
Aber,Al,18289,110017,aberal01,1000016,1957
Abercrombie,Frank,18290,110018,abercda01,1000017,1871
Abercrombie,Reggie,31438,430631,abercre01,2187,2008
Abernathie,Bill,18291,110019,abernbi01,1000018,1952
Abernathy,Brent,1025,150466,abernbr01,1192,2005
,,,-1,abernja01,-1,1948
Abernathy,Ted,18292,110020,abernte01,1000019,1944
Abernathy,Ted,18293,110021,abernte02,1000020,1972
Abernathy,Woody,18294,110022,abernwo01,1000021,1947
Aberson,Cliff,18295,110023,aberscl01,1000022,1949
Ables,Harry,18296,110024,ablesha01,1000023,1911
Abner,Shawn,16666,110025,abnersh01,1000024,1992
Abrams,Cal,18297,110026,abramca01,1000025,1956
Abrams,George,18298,110027,abramge01,1000026,1923
Abrego,Johnny,18299,110028,abregjo01,1000027,1985
Abreu,Albert,104651,656061,abreual01,17485,2021
Abreu,Bobby,650,110029,abreubo01,945,2014
Abreu,Bryan,104258,650556,abreubr01,16609,2021
,,,-1,abreueu01,-1,1925
Abreu,Joe,18300,110030,abreujo01,1000028,1942
Abreu,Jose,102005,547989,abreujo02,15676,2021
Abreu,Juan,46926,444874,abreuju01,6306,2011
Abreu,Tony,46923,473234,abreuto01,5053,2014
Abreu,Winston,31833,275700,abreuwi01,582,2009
Abstein,Bill,18301,110031,abstebi01,1000029,1910
Accardo,Jeremy,45614,435618,accarje01,6428,2012
Acevedo,Domingo,103250,642758,acevedo01,17092,2021
Acevedo,Jose,754,406895,acevejo01,307,2005
Acevedo,Juan,1406,110032,aceveju01,458,2003
Aceves,Alfredo,46928,469686,aceveal01,5164,2014
Achter,A.J.,66919,592091,achteaj01,11387,2016
Acker,Jim,18302,110033,ackerji01,1000030,1992
Acker,Tom,18303,110034,ackerto01,1000031,1959
Ackley,Dustin,61057,554429,ackledu01,10099,2016
Ackley,Fritz,18304,110035,acklefr01,1000032,1964
Acosta,Cy,18305,110037,acostcy01,1000033,1975
Acosta,Ed,18306,110038,acosted01,1000034,1972
Acosta,Jose,18307,110039,acostjo01,1000035,1922
Acosta,Manny,31858,407924,acostma01,8725,2012
Acosta,Merito,18308,110036,acostme01,1000036,1918
,,,-1,,-1,
Acre,Mark,18056,110040,acrema01,1000037,1997
Acta,Manny,91067,427000,actama99,-1,
Acuna,Ronald,105454,660670,acunaro01,18401,2021
Adair,Bill,111465,492614,adairbi99,-1,
Adair,Jerry,18309,110042,adairje01,1000038,1970
Adair,Jimmy,18310,110041,adairji01,1000039,1931
Adair,Rick,82549,547748,,-1,
