key_mlbam,key_bbref,key_fangraphs,name_last,name_first,key_retro,mlb_played_first,mlb_played_last
430911,aardsda01,1902,aardsma,david,aardd001,2004.0,2015.0
110001,aaronha01,1000001,aaron,hank,aaroh101,1954.0,1976.0
110002,aaronto01,1000002,aaron,tommie,aarot101,1962.0,1971.0
110003,aasedo01,1000003,aase,don,aased001,1977.0,1990.0
407577,abadan01,506,abad,andy,abada001,2001.0,2006.0
472551,abadfe01,4994,abad,fernando,abadf001,2010.0,2021.0
110004,abadijo01,1000004,abadie,john,abadj101,1875.0,1875.0
110005,abbated01,1000005,abbaticchio,ed,abbae101,1897.0,1910.0
110006,abbeybe01,1000006,abbey,bert,abbeb101,1892.0,1896.0
110007,abbeych01,1000007,abbey,charlie,abbec101,1893.0,1897.0
676265,abbotco01,20277,abbott,cory,abboc001,2021.0,2021.0
110013,abbotda01,1000008,abbott,dan,abbod101,1890.0,1890.0
110008,abbotfr01,1000009,abbott,fred,abbof101,1903.0,1905.0
110016,abbotgl01,1000010,abbott,glenn,abbog001,1973.0,1984.0
110010,abbotje01,1000011,abbott,jeff,abboj002,1997.0,2001.0
110009,abbotji01,1000012,abbott,jim,abboj001,1989.0,1999.0
110011,abbotku01,1000013,abbott,kurt,abbok002,1993.0,2001.0
110012,abbotky01,1000014,abbott,kyle,abbok001,1991.0,1996.0
110014,abbotod01,1000015,abbott,ody,abboo101,1910.0,1910.0
110015,abbotpa01,1061,abbott,paul,abbop001,1990.0,2004.0
-1,,-1,abbott,spencer,abbos801,,
110017,aberal01,1000016,aber,al,abera101,1950.0,1957.0
110018,abercda01,1000017,abercrombie,frank,aberd101,1871.0,1871.0
430631,abercre01,2187,abercrombie,reggie,aberr001,2006.0,2008.0
110019,abernbi01,1000018,abernathie,bill,aberb101,1952.0,1952.0
150466,abernbr01,1192,abernathy,brent,aberb001,2001.0,2005.0
-1,abernja01,-1,abernathy,james,aberr101,1945.0,1948.0
110020,abernte01,1000019,abernathy,ted,abert102,1942.0,1944.0
110021,abernte02,1000020,abernathy,ted,abert101,1955.0,1972.0
110022,abernwo01,1000021,abernathy,woody,aberw101,1946.0,1947.0
110023,aberscl01,1000022,aberson,cliff,aberc101,1947.0,1949.0
110024,ablesha01,1000023,ables,harry,ableh101,1905.0,1911.0
110025,abnersh01,1000024,abner,shawn,abnes001,1987.0,1992.0
110026,abramca01,1000025,abrams,cal,abrac101,1949.0,1956.0
110027,abramge01,1000026,abrams,george,abrag101,1923.0,1923.0
110028,abregjo01,1000027,abrego,johnny,abrej001,1985.0,1985.0
656061,abreual01,17485,abreu,albert,abrea001,2020.0,2021.0
110029,abreubo01,945,abreu,bobby,abreb001,1996.0,2014.0
650556,abreubr01,16609,abreu,bryan,abreb002,2019.0,2021.0
-1,abreueu01,-1,abreu,eufemio,,1920.0,1925.0
110030,abreujo01,1000028,abreu,joe,abrej101,1942.0,1942.0
547989,abreujo02,15676,abreu,josé,abrej003,2014.0,2021.0
444874,abreuju01,6306,abreu,juan,abrej002,2011.0,2011.0
473234,abreuto01,5053,abreu,tony,abret001,2007.0,2014.0
275700,abreuwi01,582,abreu,winston,abrew001,2006.0,2009.0
110031,abstebi01,1000029,abstein,bill,abstb101,1906.0,1910.0
435618,accarje01,6428,accardo,jeremy,accaj001,2005.0,2012.0
642758,acevedo01,17092,acevedo,domingo,acevd001,2021.0,2021.0
406895,acevejo01,307,acevedo,jose,acevj002,2001.0,2005.0
110032,aceveju01,458,acevedo,juan,acevj001,1995.0,2003.0
469686,aceveal01,5164,aceves,alfredo,aceva001,2008.0,2014.0
592091,achteaj01,11387,achter,a. j.,achta001,2014.0,2016.0
110033,ackerji01,1000030,acker,jim,ackej001,1983.0,1992.0
110034,ackerto01,1000031,acker,tom,acket101,1956.0,1959.0
554429,ackledu01,10099,ackley,dustin,ackld001,2011.0,2016.0
110035,acklefr01,1000032,ackley,fritz,acklf101,1963.0,1964.0
110037,acostcy01,1000033,acosta,cy,acosc101,1972.0,1975.0
110038,acosted01,1000034,acosta,ed,acose101,1970.0,1972.0
110039,acostjo01,1000035,acosta,josé,acosj101,1920.0,1922.0
407924,acostma01,8725,acosta,manny,acosm001,2007.0,2012.0
110036,acostme01,1000036,acosta,merito,acosm101,1913.0,1918.0
-1,,-1,acosta,oscar,acoso801,,
110040,acrema01,1000037,acre,mark,acrem001,1994.0,1997.0
427000,actama99,-1,acta,manny,actam801,,
660670,acunaro01,18401,acuna,ronald,acunr001,2018.0,2021.0
492614,adairbi99,-1,adair,bill,adaib801,,
110042,adairje01,1000038,adair,jerry,adaij101,1958.0,1970.0
110041,adairji01,1000039,adair,jimmy,adaij102,1931.0,1931.0
547748,,-1,adair,rick,adair801,,
592094,adamja01,11861,adam,jason,adamj002,2018.0,2021.0
542436,adamecr01,6013,adames,cristhian,adamc001,2014.0,2019.0
642715,adamewi01,15986,adames,willy,adamw002,2018.0,2021.0
-1,adams05,-1,adams,,,1942.0,1942.0
110043,adamsac01,1000040,adams,ace,adama101,1941.0,1946.0
613534,adamsau02,13801,adams,austin,adama002,2017.0,2021.0
542866,adamsau01,7411,adams,austin,adama001,2014.0,2019.0
110044,adamsba01,1000041,adams,babe,adamb104,1906.0,1926.0
110055,adamsbe01,1000042,adams,bert,adamb106,1910.0,1919.0
110062,adamsbo01,1000043,adams,bob,adamb107,1925.0,1925.0
110061,adamsbo02,1000044,adams,bob,adamb102,1931.0,1932.0
110064,adamsbo04,1000046,adams,bob,adamb105,1977.0,1977.0
110063,adamsbo03,1000045,adams,bobby,adamb103,1946.0,1959.0
110048,adamsbu01,1000047,adams,buster,adamb101,1939.0,1947.0
664856,adamsch01,18135,adams,chance,adamc002,2018.0,2020.0
-1,,-1,adams,clarence,adamc901,,
110046,adamsda01,1000048,adams,dan,adamd103,1914.0,1915.0
458691,adamsda02,7389,adams,david,adamd001,2013.0,2013.0
110059,adamsdi01,1000049,adams,dick,adamd102,1947.0,1947.0
110051,adamsdo01,1000050,adams,doug,adamd101,1969.0,1969.0
-1,adamsem01,-1,adams,emery,,1932.0,1947.0
110049,adamsge01,1000051,adams,george,adamg102,1879.0,1879.0
110050,adamsgl01,1000052,adams,glenn,adamg101,1975.0,1982.0
-1,,-1,adams,harry,adamj901,,
110052,adamshe01,1000053,adams,herb,adamh101,1948.0,1950.0
110054,adamsji01,1000054,adams,jim,adamj101,1890.0,1890.0
110056,adamsjo01,1000055,adams,joe,adamj102,1902.0,1902.0
110057,adamska01,1000057,adams,karl,adamk101,1914.0,1915.0
572669,adamsla01,10767,adams,lane,adaml001,2014.0,2018.0
571431,adamsma01,9393,adams,matt,adamm002,2012.0,2021.0
110065,adamsmi02,1000059,adams,mike,adamm102,1972.0,1978.0
430606,adamsmi03,1937,adams,mike,adamm001,2004.0,2014.0
110045,adamsre01,1000060,adams,red,adamr101,1946.0,1946.0
110058,adamsri01,1000061,adams,rick,adamr102,1905.0,1905.0
110060,adamsri02,1000062,adams,ricky,adamr001,1982.0,1985.0
