name_last,name_first,key_mlbam,key_bbref,key_fangraphs,key_retro,mlb_played_first,mlb_played_last
aardsma,david,430911,aardsda01,1902,aardd001,2004.0,2015.0
aaron,hank,110001,aaronha01,1000001,aaroh101,1954.0,1976.0
aaron,tommie,110002,aaronto01,1000002,aarot101,1962.0,1971.0
aase,don,110003,aasedo01,1000003,aased001,1977.0,1990.0
abad,andy,407577,abadan01,506,abada001,2001.0,2006.0
abad,fernando,472551,abadfe01,4994,abadf001,2010.0,2021.0
abadie,john,110004,abadijo01,1000004,abadj101,1875.0,1875.0
abbaticchio,ed,110005,abbated01,1000005,abbae101,1897.0,1910.0
abbey,bert,110006,abbeybe01,1000006,abbeb101,1892.0,1896.0
abbey,charlie,110007,abbeych01,1000007,abbec101,1893.0,1897.0
abbott,cory,676265,abbotco01,20277,abboc001,2021.0,2021.0
abbott,dan,110013,abbotda01,1000008,abbod101,1890.0,1890.0
abbott,fred,110008,abbotfr01,1000009,abbof101,1903.0,1905.0
abbott,glenn,110016,abbotgl01,1000010,abbog001,1973.0,1984.0
abbott,jeff,110010,abbotje01,1000011,abboj002,1997.0,2001.0
abbott,jim,110009,abbotji01,1000012,abboj001,1989.0,1999.0
abbott,kurt,110011,abbotku01,1000013,abbok002,1993.0,2001.0
abbott,kyle,110012,abbotky01,1000014,abbok001,1991.0,1996.0
abbott,ody,110014,abbotod01,1000015,abboo101,1910.0,1910.0
abbott,paul,110015,abbotpa01,1061,abbop001,1990.0,2004.0
abbott,spencer,-1,,-1,abbos801,,
aber,al,110017,aberal01,1000016,abera101,1950.0,1957.0
abercrombie,frank,110018,abercda01,1000017,aberd101,1871.0,1871.0
abercrombie,reggie,430631,abercre01,2187,aberr001,2006.0,2008.0
abernathie,bill,110019,abernbi01,1000018,aberb101,1952.0,1952.0
abernathy,brent,150466,abernbr01,1192,aberb001,2001.0,2005.0
abernathy,james,-1,abernja01,-1,aberr101,1945.0,1948.0
abernathy,ted,110020,abernte01,1000019,abert102,1942.0,1944.0
abernathy,ted,110021,abernte02,1000020,abert101,1955.0,1972.0
abernathy,woody,110022,abernwo01,1000021,aberw101,1946.0,1947.0
aberson,cliff,110023,aberscl01,1000022,aberc101,1947.0,1949.0
ables,harry,110024,ablesha01,1000023,ableh101,1905.0,1911.0
abner,shawn,110025,abnersh01,1000024,abnes001,1987.0,1992.0
abrams,cal,110026,abramca01,1000025,abrac101,1949.0,1956.0
abrams,george,110027,abramge01,1000026,abrag101,1923.0,1923.0
abrego,johnny,110028,abregjo01,1000027,abrej001,1985.0,1985.0
abreu,albert,656061,abreual01,17485,abrea001,2020.0,2021.0
abreu,bobby,110029,abreubo01,945,abreb001,1996.0,2014.0
abreu,bryan,650556,abreubr01,16609,abreb002,2019.0,2021.0
abreu,eufemio,-1,abreueu01,-1,,1920.0,1925.0
abreu,joe,110030,abreujo01,1000028,abrej101,1942.0,1942.0
abreu,josé,547989,abreujo02,15676,abrej003,2014.0,2021.0
abreu,juan,444874,abreuju01,6306,abrej002,2011.0,2011.0
abreu,tony,473234,abreuto01,5053,abret001,2007.0,2014.0
abreu,winston,275700,abreuwi01,582,abrew001,2006.0,2009.0
abstein,bill,110031,abstebi01,1000029,abstb101,1906.0,1910.0
accardo,jeremy,435618,accarje01,6428,accaj001,2005.0,2012.0
acevedo,domingo,642758,acevedo01,17092,acevd001,2021.0,2021.0
acevedo,jose,406895,acevejo01,307,acevj002,2001.0,2005.0
acevedo,juan,110032,aceveju01,458,acevj001,1995.0,2003.0
aceves,alfredo,469686,aceveal01,5164,aceva001,2008.0,2014.0
achter,a. j.,592091,achteaj01,11387,achta001,2014.0,2016.0
acker,jim,110033,ackerji01,1000030,ackej001,1983.0,1992.0
acker,tom,110034,ackerto01,1000031,acket101,1956.0,1959.0
ackley,dustin,554429,ackledu01,10099,ackld001,2011.0,2016.0
ackley,fritz,110035,acklefr01,1000032,acklf101,1963.0,1964.0
acosta,cy,110037,acostcy01,1000033,acosc101,1972.0,1975.0
acosta,ed,110038,acosted01,1000034,acose101,1970.0,1972.0
acosta,josé,110039,acostjo01,1000035,acosj101,1920.0,1922.0
acosta,manny,407924,acostma01,8725,acosm001,2007.0,2012.0
acosta,merito,110036,acostme01,1000036,acosm101,1913.0,1918.0
acosta,oscar,-1,,-1,acoso801,,
acre,mark,110040,acrema01,1000037,acrem001,1994.0,1997.0
acta,manny,427000,actama99,-1,actam801,,
acuna,ronald,660670,acunaro01,18401,acunr001,2018.0,2021.0
adair,bill,492614,adairbi99,-1,adaib801,,
adair,jerry,110042,adairje01,1000038,adaij101,1958.0,1970.0
adair,jimmy,110041,adairji01,1000039,adaij102,1931.0,1931.0
adair,rick,547748,,-1,adair801,,
adam,jason,592094,adamja01,11861,adamj002,2018.0,2021.0
adames,cristhian,542436,adamecr01,6013,adamc001,2014.0,2019.0
adames,willy,642715,adamewi01,15986,adamw002,2018.0,2021.0
adams,,-1,adams05,-1,,1942.0,1942.0
adams,ace,110043,adamsac01,1000040,adama101,1941.0,1946.0
adams,austin,613534,adamsau02,13801,adama002,2017.0,2021.0
adams,austin,542866,adamsau01,7411,adama001,2014.0,2019.0
adams,babe,110044,adamsba01,1000041,adamb104,1906.0,1926.0
adams,bert,110055,adamsbe01,1000042,adamb106,1910.0,1919.0
adams,bob,110062,adamsbo01,1000043,adamb107,1925.0,1925.0
adams,bob,110061,adamsbo02,1000044,adamb102,1931.0,1932.0
adams,bob,110064,adamsbo04,1000046,adamb105,1977.0,1977.0
adams,bobby,110063,adamsbo03,1000045,adamb103,1946.0,1959.0
adams,buster,110048,adamsbu01,1000047,adamb101,1939.0,1947.0
adams,chance,664856,adamsch01,18135,adamc002,2018.0,2020.0
adams,clarence,-1,,-1,adamc901,,
adams,dan,110046,adamsda01,1000048,adamd103,1914.0,1915.0
adams,david,458691,adamsda02,7389,adamd001,2013.0,2013.0
adams,dick,110059,adamsdi01,1000049,adamd102,1947.0,1947.0
adams,doug,110051,adamsdo01,1000050,adamd101,1969.0,1969.0
adams,emery,-1,adamsem01,-1,,1932.0,1947.0
adams,george,110049,adamsge01,1000051,adamg102,1879.0,1879.0
adams,glenn,110050,adamsgl01,1000052,adamg101,1975.0,1982.0
adams,harry,-1,,-1,adamj901,,
adams,herb,110052,adamshe01,1000053,adamh101,1948.0,1950.0
adams,jim,110054,adamsji01,1000054,adamj101,1890.0,1890.0
adams,joe,110056,adamsjo01,1000055,adamj102,1902.0,1902.0
adams,karl,110057,adamska01,1000057,adamk101,1914.0,1915.0
adams,lane,572669,adamsla01,10767,adaml001,2014.0,2018.0
adams,matt,571431,adamsma01,9393,adamm002,2012.0,2021.0
adams,mike,110065,adamsmi02,1000059,adamm102,1972.0,1978.0
adams,mike,430606,adamsmi03,1937,adamm001,2004.0,2014.0
adams,red,110045,adamsre01,1000060,adamr101,1946.0,1946.0
adams,rick,110058,adamsri01,1000061,adamr102,1905.0,1905.0
adams,ricky,110060,adamsri02,1000062,adamr001,1982.0,1985.0
adams,riley,656180,adamsri03,19864,adamr004,2021.0,2021.0
adams,russ,425859,adamsru01,4519,adamr002,2004.0,2009.0
adams,ryan,502031,adamsry01,6343,adamr003,2011.0,2011.0
adams,sparky,110047,adamssp01,1000063,adams101,1922.0,1934.0
adams,spencer,110066,adamssp02,1000064,adams102,1923.0,1927.0
adams,terry,110067,adamste01,946,adamt001,1995.0,2005.0
adams,willie,110053,adamswi01,1000065,adamw101,1912.0,1919.0
adams,willie,110068,adamswi02,1000066,adamw001,1996.0,1997.0
adamson,joel,110069,adamsjo02,1000056,adamj001,1996.0,1998.0
adamson,mike,110070,adamsmi01,1000058,adamm101,1967.0,1969.0
adcock,joe,110071,adcocjo01,1000067,adcoj101,1950.0,1966.0
adcock,nathan,502264,adcocna01,3282,adcon001,2011.0,2015.0
addis,bob,110072,addisbo01,1000068,addib101,1950.0,1953.0
additon,ryan,596809,,-1,addir901,,
adduci,jim,110073,adducji01,1000069,adduj001,1983.0,1989.0
adduci,jim,451192,adducji02,6448,adduj002,2013.0,2019.0
addy,bob,110074,addybo01,1000070,addyb101,1871.0,1877.0
adell,jo,666176,adelljo01,20220,adelj001,2020.0,2021.0
adenhart,nick,444440,adenhni01,6879,adenn001,2008.0,2009.0
aderholt,morrie,110075,aderhmo01,1000071,aderm101,1939.0,1945.0
adkins,dewey,110077,adkinde01,1000072,adkid103,1942.0,1949.0
adkins,dick,110079,adkindi01,1000073,adkid101,1942.0,1942.0
adkins,doc,110078,adkindo01,1000074,adkid102,1902.0,1903.0
adkins,grady,110076,adkingr01,1000075,adkig101,1928.0,1929.0
adkins,jon,424668,adkinjo01,1799,adkij001,2003.0,2008.0
adkins,steve,110080,adkinst01,1000077,adkis001,1990.0,1990.0
adleman,tim,534947,adlemti01,10968,adlet001,2016.0,2017.0
adler,,-1,,-1,adleu901,,
adlesh,dave,110082,adlesda01,1000078,adled101,1963.0,1968.0
adon,joan,672851,adonjo01,22925,adonj001,2021.0,2021.0
adrianza,ehire,501303,adriaeh01,8418,adrie001,2013.0,2021.0
afenir,troy,110083,afenitr01,1000079,afent001,1987.0,1992.0
affeldt,jeremy,346793,affelje01,583,affej001,2002.0,2015.0
agbayani,benny,133742,agbaybe01,416,agbab001,1998.0,2002.0
agee,tommie,110084,ageeto01,1000080,ageet101,1962.0,1973.0
agganis,harry,110085,agganha01,1000081,aggah101,1954.0,1955.0
agler,joe,110086,aglerjo01,1000082,aglej101,1912.0,1915.0
agnew,sam,110087,agnewsa01,1000083,agnes101,1913.0,1919.0
agosto,juan,110088,agostju01,1000084,agosj001,1981.0,1993.0
agrazal,dario,642607,agrazda01,15821,agrad001,2019.0,2019.0
aguayo,luis,110089,aguaylu01,1000085,agual001,1980.0,1989.0
aguila,chris,430894,aguilch01,2143,aguic001,2004.0,2008.0
aguilar,jesus,542583,aguilje01,11342,aguij001,2014.0,2021.0
aguilar,miguel,620396,aguilmi01,19246,aguim001,2021.0,2021.0
aguilera,rick,110090,aguilri01,1000086,aguir001,1985.0,2000.0
aguirre,hank,110091,aguirha01,1000087,aguih101,1955.0,1970.0
ahearn,bill,110092,ahearch01,1000088,aheac101,1880.0,1880.0
ahearne,pat,110093,ahearpa01,1000089,aheap001,1995.0,1995.0
ahmed,nick,605113,ahmedni01,12147,ahmen001,2014.0,2021.0
aikens,willie,110094,aikenwi01,1000090,aikew001,1977.0,1985.0
ainge,danny,110095,aingeda01,1000091,aingd101,1979.0,1981.0
ainsmith,eddie,110096,ainsmed01,1000092,ainse101,1910.0,1924.0
ainsworth,kurt,215128,ainswku01,1431,ainsk001,2001.0,2004.0
aitchison,raleigh,110097,aitchra01,1000093,aitcr101,1911.0,1915.0
aiton,george,110098,aitonge01,1000094,aitog101,1912.0,1912.0
ake,john,110099,akejo01,1000095,ake-j101,1884.0,1884.0
aker,jack,110100,akerja01,1000097,akerj102,1964.0,1974.0
akerfelds,darrel,110101,akerfda01,1000096,akerd001,1986.0,1991.0
akers,bill,110103,akersbi01,1000098,akerb101,1929.0,1932.0
akers,jerry,110102,akersje01,1000099,akerj101,1912.0,1912.0
akin,keegan,669211,akinke01,19362,akink001,2020.0,2021.0
akiyama,shogo,673451,akiyash01,27461,akiys001,2020.0,2021.0
alaniz,r. j.,595798,alanirj01,10819,alanr001,2019.0,2021.0
alba,gibson,110104,albagi01,1000100,albag001,1988.0,1988.0
albaladejo,jonathan,452293,albaljo01,3521,albaj001,2007.0,2012.0
albanese,joe,110105,albanjo01,1000101,albaj101,1958.0,1958.0
alberro,jose,110106,alberjo01,1000105,albej001,1995.0,1997.0
albers,andrew,452027,alberan01,7853,albea001,2013.0,2021.0
albers,matt,458006,alberma01,4300,albem001,2006.0,2019.0
albert,jeff,527982,,-1,albej801,,
alberto,hanser,593643,alberha01,11902,albeh001,2015.0,2021.0
alberts,butch,110108,alberbu01,1000102,albeb101,1978.0,1978.0
alberts,cy,110109,albercy01,1000103,albec101,1910.0,1910.0
alberts,gus,110107,albergu01,1000104,albeg101,1884.0,1891.0
albertson,johnny,-1,alberjo02,-1,,1937.0,1937.0
albies,ozzie,645277,albieoz01,16556,albio001,2017.0,2021.0
albosta,ed,110110,albosed01,1000106,alboe101,1941.0,1946.0
albrecht,ed,110111,albreed01,1000107,albre101,1949.0,1950.0
albright,jack,110112,albrija01,1000108,albrj101,1947.0,1947.0
albright,thomas,-1,albrith01,-1,,1929.0,1936.0
albritton,alex,-1,albrial01,-1,albra101,1923.0,1925.0
alburquerque,al,456379,albural01,6324,albua001,2011.0,2017.0
albury,vic,110113,alburvi01,1000109,albuv101,1973.0,1976.0
alcala,jorge,660896,alcaljo01,19459,alcaj001,2019.0,2021.0
alcala,santo,110114,alcalsa01,1000110,alcas101,1976.0,1977.0
alcantara,arismendy,570489,alcanar01,10711,alcaa001,2014.0,2017.0
alcantara,israel,150161,alcanis01,1558,alcai001,2000.0,2002.0
alcantara,raul,593417,alcanra01,12790,alcar001,2016.0,2017.0
alcantara,sandy,645261,alcansa01,18684,alcas001,2017.0,2021.0
alcantara,sergio,642727,alcanse01,16417,alcas002,2020.0,2021.0
alcantara,victor,622505,alcanvi01,15028,alcav001,2017.0,2019.0
alcaraz,luis,110115,alcarlu01,1000111,alcal101,1967.0,1970.0
alcock,scotty,110116,alcocsc01,1000112,alcos101,1914.0,1914.0
alderson,dale,110117,alderda01,1000113,alded101,1943.0,1944.0
aldred,scott,110118,aldresc01,1000115,aldrs001,1990.0,2000.0
aldrete,mike,110119,aldremi01,1000114,aldrm001,1986.0,1996.0
aldrich,jay,110120,aldrija01,1000117,aldrj001,1987.0,1990.0
aldridge,cory,400139,aldrico01,1405,aldrc001,2001.0,2010.0
aldridge,vic,110121,aldrivi01,1000118,aldrv101,1917.0,1928.0
alejo,bob,-1,,-1,alejb801,,
aleno,chuck,110122,alenoch01,1000119,alenc101,1941.0,1944.0
alexander,,-1,alexa03,-1,,1948.0,1948.0
alexander,bob,110131,alexabo01,1000120,alexb101,1955.0,1957.0
alexander,buck,-1,alexabu01,-1,,1923.0,1926.0
alexander,chuffy,-1,alexach01,-1,,1927.0,1932.0
alexander,dale,110123,alexada01,1000121,alexd101,1929.0,1933.0
alexander,doyle,110124,alexado01,1000122,alexd001,1971.0,1989.0
alexander,gary,110125,alexaga01,1000123,alexg101,1975.0,1981.0
alexander,gerald,110126,alexage01,1000124,alexg001,1990.0,1992.0
alexander,hugh,110128,alexahu01,1000125,alexh101,1937.0,1937.0
alexander,koke,-1,alexako01,-1,,1920.0,1921.0
alexander,manny,110129,alexama02,1954,alexm001,1992.0,2006.0
alexander,matt,110130,alexama01,1000126,alexm101,1973.0,1981.0
alexander,nin,110133,alexani01,1000127,alexn101,1884.0,1884.0
alexander,pete,110127,alexape01,1000128,alexg102,1911.0,1930.0
alexander,scott,518397,alexasc02,10591,alexs001,2015.0,2021.0
